Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Bilari,30,MOHD. FAEEM,Samajwadi Party,SURESH SAINI,Bharatiya Janata Party,13441,Result Declared
Bilaspur,36,BALDEV SINGH AULAKH,Bharatiya Janata Party,SANJAY KAPOOR,Indian National Congress,22359,Result Declared
Bilgram-Mallanwan,159,ASHISH KUMAR SINGH ASHU,Bharatiya Janata Party,SUBHASH PAL,Samajwadi Party,8025,Result Declared
Bilhaur,209,BHAGWATI PRASAD SAGAR,Bharatiya Janata Party,KAMLESH CHANDRA DIWAKAR,Bahujan Samaj Party,31166,Result Declared
Bilsi,114,PT. RADHA KRISHAN SHARMA,Bharatiya Janata Party,MUSARRAT ALI BITTAN,Bahujan Samaj Party,26979,Result Declared
Bindki,239,KARAN SINGH PATEL,Bharatiya Janata Party,RAMESHWAR DAYAL,Samajwadi Party,56378,Result Declared
Bisalpur,130,AGYASH RAM SARAN VERMA,Bharatiya Janata Party,ANIS AHMAD KHAN ALIAS PHOOLBABU,Indian National Congress,40996,Result Declared
Bisauli ,112,KUSHAGRA SAGAR,Bharatiya Janata Party,ASHUTOSH MAURYA ALIAS RAJU,Samajwadi Party,10688,Result Declared
Biswan,149,MAHENDRA SINGH,Bharatiya Janata Party,AFZAAL KAUSAR,Samajwadi Party,10235,Result Declared
Bithari Chainpur,123,RAJESH KUMAR MISHRA,Bharatiya Janata Party,VEER PAL SINGH YADAV,Samajwadi Party,19511,Result Declared
Bithoor,210,ABHIJEET SINGH SANGA,Bharatiya Janata Party,MUNINDRA SHUKLA,Samajwadi Party,58987,Result Declared
Budhana,11,UMESH MALIK,Bharatiya Janata Party,PRAMOD TYAGI,Samajwadi Party,13201,Result Declared
Bulandshahr,65,VIRENDRA SINGH SIROHI,Bharatiya Janata Party,MOH ALEEM KHAN,Bahujan Samaj Party,23084,Result Declared
Caimpiyarganj,320,FATEH BAHADUR,Bharatiya Janata Party,CHINTA YADAV,Indian National Congress,32854,Result Declared
Chail,253,SANJAY KUMAR,Bharatiya Janata Party,TALAT AZIM,Indian National Congress,40116,Result Declared
Chakia ,383,SHARADA PRASAD,Bharatiya Janata Party,JITENDRA KUMAR,Bahujan Samaj Party,20063,Result Declared
Chamraua,35,NASEER AHMAD KHAN,Samajwadi Party,ALI YUSUF ALI,Bahujan Samaj Party,34376,Result Declared
Chandausi ,31,GULAB DEVI,Bharatiya Janata Party,KM. VIMLESH KUMARI,Indian National Congress,45469,Result Declared
Chandpur,23,KAMLESH SAINI,Bharatiya Janata Party,MOHAMMAD IQBAL,Bahujan Samaj Party,35649,Result Declared
Charkhari,231,BRIJBHUSHAN RAJPOOT ALIAS GUDDU BHAIYA,Bharatiya Janata Party,URMILA DEVI,Samajwadi Party,44014,Result Declared
Charthawal,12,VIJAY KUMAR KASHYAP,Bharatiya Janata Party,MUKESH KUMAR CHAUDHARY,Samajwadi Party,23231,Result Declared
Chauri-Chaura,326,SANGEETA YADAV,Bharatiya Janata Party,MANUROJAN YADAV,Samajwadi Party,45660,Result Declared
Chhanbey ,395,RAHUL PRAKASH,Apna Dal (Soneylal),DHANESHWAR,Bahujan Samaj Party,63468,Result Declared
Chhaprauli,50,SAHENDER SINGH RAMALA,Rashtriya Lok Dal,SATENDER SINGH,Bharatiya Janata Party,3842,Result Declared
Chharra,74,RAVENDRA PAL SINGH,Bharatiya Janata Party,THAKUR RAKESH SINGH,Samajwadi Party,56134,Result Declared
Chhata,81,LAXMI NARAYAN,Bharatiya Janata Party,ATUL SINGH,Independent,63838,Result Declared
Chhibramau,196,ARCHANA PANDEY,Bharatiya Janata Party,TAHIR HUSSAIN SIDDIQUI,Bahujan Samaj Party,37224,Result Declared
Chillupar,328,VINAY SHANKAR TIWARI,Bahujan Samaj Party,RAJESH TRIPATHI,Bharatiya Janata Party,3359,Result Declared
Chitrakoot,236,CHANDRIKA PRASAD UPADHYAY,Bharatiya Janata Party,VEER SINGH,Samajwadi Party,26936,Result Declared
Chunar,398,ANURAG SINGH,Bharatiya Janata Party,JAGTAMBA SINGH PATEL,Samajwadi Party,62228,Result Declared
Colonelganj,298,AJAY PRATAP SINGH,Bharatiya Janata Party,YOGESH PRATAP SINGH,Samajwadi Party,28405,Result Declared
Dadraul,136,MANVENDRA SINGH,Bharatiya Janata Party,RAMMURTEE SINGH VERMA,Samajwadi Party,17398,Result Declared
Dadri,62,TEJPAL SINGH NAGAR,Bharatiya Janata Party,SATVEER SINGH GURJAR,Bahujan Samaj Party,80177,Result Declared
Dariyabad,270,SATISH CHANDRA SHARMA,Bharatiya Janata Party,RAJEEV KUMAR SINGH,Samajwadi Party,50686,Result Declared
Dataganj,117,RAJEEV KUMAR SINGH URF BABBU BHAIYA,Bharatiya Janata Party,SINOD KUMAR SHAKYA (DEEPU BHAIYA),Bahujan Samaj Party,25759,Result Declared
Debai,68,DR. ANITA LODHI RAJPUT,Bharatiya Janata Party,HARISH KUMAR,Samajwadi Party,65630,Result Declared
Deoband,5,BRIJESH,Bharatiya Janata Party,MAJID ALI,Bahujan Samaj Party,29400,Result Declared
Deoria,337,JANMEJAI SINGH,Bharatiya Janata Party,J.P. JAISWAL,Samajwadi Party,46236,Result Declared
Dhampur,20,ASHOK KUMAR RANA,Bharatiya Janata Party,THA. MOOL CHAND CHAUHAN,Samajwadi Party,17864,Result Declared
Dhanaura ,39,RAJEEV KUMAR,Bharatiya Janata Party,JAGRAM SINGH,Samajwadi Party,38229,Result Declared
Dhanghata ,314,SHRI RAM CHAUHAN,Bharatiya Janata Party,ALGOO PRASAD,Samajwadi Party,16909,Result Declared
DHAURAHRA,141,AWASTHI BALA PRASAD,Bharatiya Janata Party,YESHPAL SINGH CHAUDHARI,Samajwadi Party,3353,Result Declared
Dholana,58,AAASLAM CHOUDHARY,Bahujan Samaj Party,RAMESH CHAND TOMER,Bharatiya Janata Party,3576,Result Declared
Dibiyapur,203,LAKHAN SINGH,Bharatiya Janata Party,PRADEEP KUMAR YADAV,Samajwadi Party,12094,Result Declared
Didarganj,350,SUKHDEV RAJBHAR,Bahujan Samaj Party,ADIL SHAIKH,Samajwadi Party,3645,Result Declared
Doomariyaganj,306,RAGHVENDRA PRATAP SINGH,Bharatiya Janata Party,SAIYADA KHATOON,Bahujan Samaj Party,171,Result Declared
Duddhi ,403,HAR IRAM,Apna Dal (Soneylal),VIJAY SINGH GOND,Bahujan Samaj Party,1085,Result Declared
Etah,104,VIPIN KUMAR DAVID,Bharatiya Janata Party,JUGENDRA SINGH YADAV,Samajwadi Party,21129,Result Declared
Etawah,200,SARITA BHADAURIYA,Bharatiya Janata Party,KULDEEP GUPTA 'SANTU',Samajwadi Party,17342,Result Declared
Etmadpur,86,RAM PRATAP SINGH,Bharatiya Janata Party,DR. DHARMPAL SINGH,Bahujan Samaj Party,47255,Result Declared
Faridpur,122,DR. SHYAM BIHARI LAL,Bharatiya Janata Party,DR. SIYA RAM SAGAR,Samajwadi Party,24721,Result Declared
Farrukhabad,194,MEJOR SUNIL DUTT DWIVEDI,Bharatiya Janata Party,MOHD. UMAR KHAN,Bahujan Samaj Party,45427,Result Declared
Fatehabad,93,JITENDRA VERMA,Bharatiya Janata Party,RAJENDRA SINGH,Samajwadi Party,34364,Result Declared
Fatehpur   ,240,VIKRAM SINGH,Bharatiya Janata Party,CHANDRA PRAKASH LODHI,Samajwadi Party,31498,Result Declared
Fatehpur Sikri,91,CHAU. UDAYBHAN SINGH,Bharatiya Janata Party,SURAJPAL SINGH,Bahujan Samaj Party,52337,Result Declared
Fazilnagar,332,GANGA,Bharatiya Janata Party,VISHWNATH,Samajwadi Party,41922,Result Declared
Firozabad,97,MANISH ASIJA,Bharatiya Janata Party,AZIM BHAI,Samajwadi Party,41727,Result Declared
Gainsari,292,SHAILESH KUMAR SINGH,Bharatiya Janata Party,ALAUDDIN,Bahujan Samaj Party,2303,Result Declared
Gangoh,7,PRADEEP KUMAR,Bharatiya Janata Party,NAUMAN MASOOD,Indian National Congress,38028,Result Declared
Garautha,225,JAWAHAR LAL RAJPOOT,Bharatiya Janata Party,DEEP NARAYAN SINGH (DEEPAK YADAV),Samajwadi Party,15831,Result Declared
Garhmukteshwar,60,KAMAL SINGH MALIK,Bharatiya Janata Party,PRASHANT CHAUDHARY,Bahujan Samaj Party,35294,Result Declared
Gaura,301,PRABHAT KUMAR VERMA,Bharatiya Janata Party,RAM PRATAP SINGH,Samajwadi Party,29855,Result Declared
Gauriganj,185,RAKESH PRATAP SINGH,Samajwadi Party,MOHAMMAD NAYEEM,Indian National Congress,26419,Result Declared
Ghatampur ,218,KAMAL RANI,Bharatiya Janata Party,SAROJ KUREEL,Bahujan Samaj Party,45178,Result Declared
Ghaziabad,56,ATUL GARG,Bharatiya Janata Party,SURESH BANSAL,Bahujan Samaj Party,70505,Result Declared
Ghazipur,375,SANGEETA,Bharatiya Janata Party,RAJESH KUSHWAHA,Samajwadi Party,32607,Result Declared
Ghorawal,400,ANIL KUMAR MAURYA,Bharatiya Janata Party,RAMESH CHANDRA DUBEY,Samajwadi Party,57649,Result Declared
Ghosi,354,FAGU CHAUHAN,Bharatiya Janata Party,ABBAS ANSARI,Bahujan Samaj Party,7003,Result Declared
GOLA GOKRANNATH,139,ARVIND GIRI,Bharatiya Janata Party,VINAY TIWARI,Samajwadi Party,55017,Result Declared
Gonda,296,PRATEEK BHUSHAN SINGH,Bharatiya Janata Party,MO. JALEEL KHAN,Bahujan Samaj Party,11678,Result Declared
Gopalpur,344,NAFEES AHMAD,Samajwadi Party,SHRIKRISHNA PAL,Bharatiya Janata Party,14960,Result Declared
Gopamau ,157,SHYAM PRAKASH,Bharatiya Janata Party,RAJESHWARI,Samajwadi Party,31378,Result Declared
Gorakhpur Rural,323,BIPIN SINGH,Bharatiya Janata Party,VIJAY BAHADUR YADAV,Samajwadi Party,4410,Result Declared
Gorakhpur Urban,322,DR. RADHA MOHAN DAS AGRAWAL,Bharatiya Janata Party,RANA RAHUL SINGH,Indian National Congress,60730,Result Declared
Goshainganj,276,INDRA PRATAP ALIAS KHABBU TIWARI,Bharatiya Janata Party,ABHAY SINGH,Samajwadi Party,11620,Result Declared
Goverdhan,83,KARINDA SINGH,Bharatiya Janata Party,RAJ KUMAR RAWAT,Bahujan Samaj Party,33009,Result Declared
Govindnagar,212,SATYA DEV PACHAURI,Bharatiya Janata Party,AMBUJ SHIKLA,Indian National Congress,71509,Result Declared
Gunnaur,111,AJEET KUMAR URF RAJU YADAV,Bharatiya Janata Party,RAM KHILADI SINGH,Samajwadi Party,11386,Result Declared
Gyanpur,393,VIJAY MISHRA,Nirbal Indian Shoshit Hamara Aam Dal,MAHENDRA KUMAR BIND,Bharatiya Janata Party,20230,Result Declared
Haidergarh ,272,BAIJNATH RAWAT,Bharatiya Janata Party,RAM MAGAN,Samajwadi Party,33520,Result Declared
Hamirpur,228,ASHOK KUMAR SINGH CHANDEL,Bharatiya Janata Party,DR. MANOJ KUMAR PRAJAPATI,Samajwadi Party,48655,Result Declared
Handia,258,HAKIM LAL,Bahujan Samaj Party,PRAMILA DEVI,Apna Dal (Soneylal),8526,Result Declared
Hapur ,59,VIJAY PAL (AADHTI),Bharatiya Janata Party,GAJRAJ SINGH,Indian National Congress,15006,Result Declared
Harchandpur,179,RAKESH SINGH,Indian National Congress,KANCHAN LODHI,Bharatiya Janata Party,3652,Result Declared
Hardoi,156,NITIN AGARWAL,Samajwadi Party,RAJA BUX SINGH,Bharatiya Janata Party,5109,Result Declared
Hargaon ,147,SURESH RAHI,Bharatiya Janata Party,RAMHET BHARTI,Bahujan Samaj Party,44995,Result Declared
Harraiya,307,AJAY KUMAR SINGH ''AJAY SINGH'',Bharatiya Janata Party,RAJKISHOR SINGH,Samajwadi Party,30106,Result Declared
Hasanpur,42,MAHENDRA SINGH KHARGVANSHI,Bharatiya Janata Party,KAMAL AKHTAR,Samajwadi Party,27770,Result Declared
Hastinapur ,45,DINESH KHATIK,Bharatiya Janata Party,YOGESH VERMA,Bahujan Samaj Party,36062,Result Declared
Hata,334,PAWAN KUMAR,Bharatiya Janata Party,RADHESHYAM SINGH,Samajwadi Party,53076,Result Declared
Hathras ,78,HARI SHANKAR MAHOR,Bharatiya Janata Party,BRAJ MOHAN RAHI,Bahujan Samaj Party,70661,Result Declared
Husainganj,242,RANVENDRA PRATAP SINGH URF DHUNNI BHAIYA,Bharatiya Janata Party,USHA MAURYA,Indian National Congress,18593,Result Declared
Iglas ,77,RAJVEER DILER,Bharatiya Janata Party,RAJENDRA KUMAR,Bahujan Samaj Party,74800,Result Declared
Isauli,187,ABRAR AHMAD,Samajwadi Party,"OM PRAKASH PANDEY ""BAJRANGEE""",Bharatiya Janata Party,4241,Result Declared
Itwa,305,DR. SATISH CHANDRA DWIVEDI,Bharatiya Janata Party,ARSHAD KHURSHEED,Bahujan Samaj Party,10208,Result Declared
Jagdishpur ,184,SURESH KUMAR,Bharatiya Janata Party,RADHEY SHYAM,Indian National Congress,16600,Result Declared
Jahanabad,238,JAI KUMAR SINGH JAIKI,Apna Dal (Soneylal),MADANGOPAL VERMA,Samajwadi Party,47606,Result Declared
Jakhanian ,373,TRIVENI RAM,Suheldev Bhartiya Samaj Party,GAREEB,Samajwadi Party,5157,Result Declared
Jalalabad,132,SHARADVIR SINGH,Samajwadi Party,MANOJ KASHYAP,Bharatiya Janata Party,9297,Result Declared
Jalalpur,280,RITESH PANDEY,Bahujan Samaj Party,DR. RAJESH SINGH,Bharatiya Janata Party,13030,Result Declared
Jalesar ,106,SANJEEV KUMAR DIWAKAR,Bharatiya Janata Party,RANJEET SUMAN,Samajwadi Party,19808,Result Declared
Jangipur,376,VIRENDRA KUMAR YADAV,Samajwadi Party,RAM NARESH KUSHWAHA,Bharatiya Janata Party,3239,Result Declared
Jasrana,96,RAMGOPAL PAPPU LODHI,Bharatiya Janata Party,SHIVPRATAP SINGH,Samajwadi Party,20328,Result Declared
Jaswantnagar,199,SHIVPAL SINGH YADAV,Samajwadi Party,MANISH YADAV PATRE,Bharatiya Janata Party,52616,Result Declared
Jaunpur,366,GIRISH CHANDRA YADAV,Bharatiya Janata Party,NADEEM JAVED,Indian National Congress,12284,Result Declared
Jewar,63,DHIRENDRA SINGH,Bharatiya Janata Party,VEDRAM BHATI,Bahujan Samaj Party,22173,Result Declared
Jhansi Nagar,223,RAVI SHARMA,Bharatiya Janata Party,SITA RAM KUSHWAHA,Bahujan Samaj Party,55778,Result Declared
Kadipur ,191,RAJESH GAUTAM,Bharatiya Janata Party,BHAGELURAM,Bahujan Samaj Party,26604,Result Declared
Kaimganj ,192,AMAR SINGH,Bharatiya Janata Party,DR. SURABHI,Samajwadi Party,36525,Result Declared
Kairana,8,NAHID HASAN,Samajwadi Party,MRIGANKA SINGH,Bharatiya Janata Party,21162,Result Declared
Kaiserganj,288,MUKUT BIHARI,Bharatiya Janata Party,KHALID KHAN,Bahujan Samaj Party,27363,Result Declared
Kalpi,220,KU. NARENDRA PAL SINGH,Bharatiya Janata Party,CHHOTE SINGH,Bahujan Samaj Party,51484,Result Declared
Kalyanpur,211,NILIMA KATIYAR,Bharatiya Janata Party,SATISH KUMAR NIGAM,Samajwadi Party,23342,Result Declared
Kannauj ,198,ANIL KUMAR DOHARE,Samajwadi Party,BANWARI LAL DOHARE,Bharatiya Janata Party,2454,Result Declared
Kanpur Cantt.,216,SOHIL AKHTAR ANSARI,Indian National Congress,RAGHUNANDAN SINGH BHADAURIA,Bharatiya Janata Party,9364,Result Declared
Kanth,25,RAJESH KUMAR SINGH (CHUNNU),Bharatiya Janata Party,ANEESURREHMAN,Samajwadi Party,2348,Result Declared
Kapilvastu ,303,SHYAM DHANI,Bharatiya Janata Party,VIJAY KUMAR,Samajwadi Party,38154,Result Declared
Kaptanganj,308,CHANDRA PRAKASH ALIAS CA CHANDRA PRAKASH SHUKL,Bharatiya Janata Party,RAM PRASAD CHAUDHARY,Bahujan Samaj Party,6827,Result Declared
Karachhana,260,UJJWAL RAMAN SINGH,Samajwadi Party,PIYUSH RANJAN,Bharatiya Janata Party,15024,Result Declared
Karhal,110,SOBARAN SINGH YADAV,Samajwadi Party,RAMA SHAKYA,Bharatiya Janata Party,38405,Result Declared
Kasganj,100,DEVENDRA SINGH RAJPUT,Bharatiya Janata Party,HASRAT ULLAH SHERVANI,Samajwadi Party,52030,Result Declared
KASTA,143,SAURABH SINGH,Bharatiya Janata Party,SUNIL KUMAR LALA,Samajwadi Party,24273,Result Declared
Katehari,277,LAL JI VERMA,Bahujan Samaj Party,AWDHESH KUMAR DWIVEDI,Bharatiya Janata Party,6287,Result Declared
Katra,131,VEER VIKRAM SINGH PRINCE,Bharatiya Janata Party,RAJESH YADAV,Samajwadi Party,16730,Result Declared
Katra Bazar,297,BAWAN SINGH,Bharatiya Janata Party,BAIJ NATH,Samajwadi Party,30811,Result Declared
Kerakat S.C.,372,DINESH CHAUDHARY,Bharatiya Janata Party,SANJAI KUMAR SAROJ,Samajwadi Party,15259,Result Declared
Khadda,329,JATASHANKER TRIPATHI,Bharatiya Janata Party,VIJAY PRATAP KUSHWAHA,Bahujan Samaj Party,38497,Result Declared
Khaga,243,KRISHNA PASWAN,Bharatiya Janata Party,OM PRAKASH GIHAR,Indian National Congress,56434,Result Declared
Khair ,71,ANOOP,Bharatiya Janata Party,RAKESH KUMAR MAURYA,Bahujan Samaj Party,70721,Result Declared
Khajani ,325,SANT PRASAD,Bharatiya Janata Party,RAJKUMAR,Bahujan Samaj Party,20079,Result Declared
KHALILABAD,313,DIGVIJAY NARAYAN ALIS JAY CHAUBEY,Bharatiya Janata Party,MASHHOOR ALAM CHOUDHARY,Bahujan Samaj Party,16037,Result Declared
Khatauli,15,VIKRAM SINGH,Bharatiya Janata Party,CHANDAN SINGH CHAUHAN,Samajwadi Party,31374,Result Declared
Kheragarh,92,MAHESH KUMAR GOYAL,Bharatiya Janata Party,BHAGWAN SINGH KUSHWAHA,Bahujan Samaj Party,31999,Result Declared
Khurja ,70,VIJENDRA SINGH,Bharatiya Janata Party,ARJUN SINGH,Bahujan Samaj Party,64299,Result Declared
KIDWAI NAGAR,215,MAHESH CHANDRA,Bharatiya Janata Party,AJAY KAPOOR,Indian National Congress,33983,Result Declared
Kishani (SC),109,BRAJESH KUMAR,Samajwadi Party,SUNIL KUMAR,Bharatiya Janata Party,16529,Result Declared
Kithore,46,SATYAVIR TYAGI,Bharatiya Janata Party,SHAHID MANZOOR,Samajwadi Party,10822,Result Declared
Koil,75,ANIL PARASHAR,Bharatiya Janata Party,SHAZ ISHAQ URF AJJU ISHAQ,Samajwadi Party,50963,Result Declared
Koraon ,265,RAJMANI,Bharatiya Janata Party,RAM KRIPAL,Indian National Congress,53696,Result Declared
Kunda,246,RAGHURAJ PRATAP SINGH,Independent,JANKI SHARAN,Bharatiya Janata Party,103647,Result Declared
Kundarki,29,MOHAMMAD RIZWAN,Samajwadi Party,RAMVEER SINGH,Bharatiya Janata Party,10821,Result Declared
Kursi,266,SAKENDRA PRATAP VERMA,Bharatiya Janata Party,FAREED MAHFOOZ KIDWAI,Samajwadi Party,28679,Result Declared
Kushinagar,333,RAJNIKANT MANI TRIPATHI,Bharatiya Janata Party,RAJESH PRATAP RAV ALIAS BANTI BHAIYA,Bahujan Samaj Party,48103,Result Declared
Laharpur,148,SUNEEL VERMA,Bharatiya Janata Party,MO. JASMEER ANSARI,Bahujan Samaj Party,9118,Result Declared
LAKHIMPUR,142,YOGESH VERMA,Bharatiya Janata Party,UTKARSH VERMA MADHUR,Samajwadi Party,37748,Result Declared
Lalganj,351,AZAD ARI MARDAN,Bahujan Samaj Party,DAROGA PRASAD SAROJ,Bharatiya Janata Party,2227,Result Declared
Lalitpur,226,RAMRATAN KUSHWAHA,Bharatiya Janata Party,JYOTI SINGH,Samajwadi Party,68255,Result Declared
Lambhua,190,DEOMANI DWIVEDI,Bharatiya Janata Party,VINOD SINGH,Bahujan Samaj Party,12903,Result Declared
Loni,53,NANDKISHOR,Bharatiya Janata Party,ZAKIR ALI,Bahujan Samaj Party,42813,Result Declared
Lucknow Central,174,BRIJESH PATHAK,Bharatiya Janata Party,RAVIDAS MEHROTRA,Samajwadi Party,5094,Result Declared
Lucknow East,173,"ASHUTOSH TANDAN ""GOPAL JI""",Bharatiya Janata Party,ANURAG SINGH,Indian National Congress,79230,Result Declared
Lucknow North,172,DR.NEERAJ BORA,Bharatiya Janata Party,ABHISHEK MISHR,Samajwadi Party,27276,Result Declared
Lucknow West,171,SURESH KUMAR SHRIVASTAV,Bharatiya Janata Party,MOD REHAN,Samajwadi Party,13072,Result Declared
Machhlishahr S.C.,369,JAGDISH SONKAR,Samajwadi Party,ANITA RAWAT,Bharatiya Janata Party,4179,Result Declared
