Candidate,Party,Votes
DAVINDER SINGH GHUBAYA,Indian National Congress,39276
SURJIT KUMAR JYANI,Bharatiya Janata Party,39011
RAJDEEP KAUR,Independent,38135
SAMARBIR SINGH SIDHU,Aam Aadmi Party,16404
KIRTI CHOUDHARY,Aapna Punjab Party,3892
RAMESH KATARIA,Independent,2321
VINOD KUMAR,Independent,639
HARJEET SINGH,Bahujan Samaj Party,630
NAGINDER SINGH,Independent,511
RACHNA KATARIA,Independent,383
SURYA PRAKASH,Independent,344
GURJINDER SINGH,Indian Krantikari Lehar,290
MAKHAN SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),227
ARUN,Independent,189
KASHMIR SINGH,Independent,152
None of the Above,None of the Above,669
