Candidate,Party,Votes
GURMEET SINGH SODHI,Indian National Congress,62787
VARDEV SINGH,Shiromani Akali Dal,56991
MALKIT CHAND,Aam Aadmi Party,14282
GURMUKH SINGH,Bahujan Samaj Party,530
IQBAL SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),462
GURMIT SINGH,Independent,413
GURMEET SINGH SODHI,Independent,245
MANOJ KUMAR,Independent,192
GURMIT SINGH,Independent,166
HARBHAJAN SINGH,Indian Krantikari Lehar,123
SHAM LAL,Independent,99
SWARAN SINGH ALIAS ROCKY,Independent,93
RAJ KUMAR,Aapna Punjab Party,65
SANDEEP SINGH,Independent,64
KULWANT SINGH,Sada Punjab Party,62
None of the Above,None of the Above,724
