Candidate,Party,Votes
MOOLCHANDRA SINGH,Bharatiya Janata Party,108737
GIRISH KUMAR,Bahujan Samaj Party,62752
VINOD CHATURVEDI,Indian National Congress,46915
RAVINDRA SINGH,Mahan Dal,22022
PRAHALAD SINGH,Rashtriya Lok Dal,1466
REKHA JATAV,Independent,1357
GOPAL SWAROOP,Kisan Majdoor Berojgar Sangh,1138
SHAKUNTLA DEVI,Sarv Sambhaav Party,1116
SHIVENDRA SINGH,Independent,1092
RAMKUMAR SHAKYAWAR,Swatantra Jantaraj Party,1057
RAMJEE,Jan Adhikar Party,901
PARASHURAM,Independent,785
VISHNU KUMAR CHATURVEDI,Rashtriya Janshanti Party,701
None of the Above,None of the Above,2582
