Candidate,Party,Votes
DR. AJAI KUMAR,Bharatiya Janata Party,79209
AJAY,Samajwadi Party,45156
ASHOK KUMAR GAUTAM,Bahujan Samaj Party,37052
PHOOL CHANDRA,Nirbal Indian Shoshit Hamara Aam Dal,10704
HANSRAJ,Independent,3729
AYODHYA PRASAD,Communist Party of India,2573
SURESH KUMAR,Indian National Congress,2045
RAJKUMAR,Independent,1452
SULOCHNA,Rashtriya Lok Dal,1107
LAL CHANDRA BHARTI,Bahujan Mukti Party,1092
BALRAM,Independent,1075
RAJESH KUMAR,Lok Dal,770
AMIT KUMAR,Independent,602
SHIVBHAJAN,Rashtriya Samaj Paksha,571
LALIT KUMAR GOND,Jay Hind Jay Bharat Party,510
None of the Above,None of the Above,2327
