Candidate,Party,Votes
LOKENDRA PRATAP SINGH,Bharatiya Janata Party,93000
SANJAY SHARMA,Indian National Congress,59082
DAUD AHMAD,Bahujan Samaj Party,57902
ADESH KUMAR,Jan Adhikar Manch,1207
NAR SINGH,Independent,1187
RAMBETI SHARMA,Rashtriya Lok Dal,1151
OM PRAKASH,Independent,626
RACHANA,Independent,622
MALKEET SINGH,Bharatiya Subhash Sena,615
SAZIYA KHATOON,Swarajya Party Of India,483
HARISHANKAR,Rashtriya Janadhar  Party,471
RAMRATI,Bhartiya Krishak Dal,470
None of the Above,None of the Above,2330
