Candidate,Party,Votes
JAGAN PRASAD GARG,Bharatiya Janata Party,135120
ER. GYANENDRA GAUTAM,Bahujan Samaj Party,48800
ATUL GARG,Samajwadi Party,36739
KUNDANIKA SHARMA,Independent,3275
COL. UMESH VERMA,Rashtriya Lok Dal,1214
PRATAP GUJAR,Independent,1163
SATENDRA DIXIT,Independent,834
VINIT AGRAWAL,Independent,555
IRFAN KHAN,VANCHITSAMAJ INSAAF PARTY,410
SATYA PRAKASH,Independent,270
REKHA,Independent,247
DEV KUMAR,Jan Adhikar Manch,238
MUKESH,Rashtriya Samanta Dal,237
TEJVEER SINGH,Peace Party,224
VIVEK KUMAR JAIN,Bhartiya Shakti Chetna Party,177
None of the Above,None of the Above,1266
