Candidate,Party,Votes
DR. MANJU SHIWACH,Bharatiya Janata Party,108631
WAHAB,Bahujan Samaj Party,42049
RAM ASRAY SHARMA,Samajwadi Party,32507
SUDESH SHARMA,Rashtriya Lok Dal,29477
RAMKUMAR,Rashtrawadi Praja Dal,677
MOHMMAD ALI,Independent,490
NIZAM,Independent,405
SUMIT,Independent,388
VISHANT,Rashtriya Lokraj Party,169
None of the Above,None of the Above,1074
