Candidate,Party,Votes
ARUN KUMAR YADAV,Bharatiya Janata Party,68435
ABUL QAIS AZMI,Bahujan Samaj Party,61140
SHYAM BAHADUR SINGH YADAV,Samajwadi Party,38099
RAMSURAT,Nirbal Indian Shoshit Hamara Aam Dal,4012
RAMAGYA YADAV,Communist Party of India,1382
RAMSINGH YADAV,Rashtriya Lok Dal,916
NESAR AHAMAD,Independent,692
BHANUPRATAP YADAV,Mahakranti Dal,574
ABUSHAD QURAISHI,Independent,415
GHANSHYAM,Independent,389
REETA MAURYA,Asankhya Samaj Party,316
MO. MAJKKIR,Bahujan Mukti Party,251
ACHCHELAL,Independent,225
None of the Above,None of the Above,1609
