Candidate,Party,Votes
CHETAN CHAUHAN,Bharatiya Janata Party,97030
JAVED ABBAS,Samajwadi Party,76382
JAIDEV,Bahujan Samaj Party,40172
ASHFAQ ALI KHAN,Rashtriya Lok Dal,14597
SORAN SINGH,Rashtriya Kisan Majdoor Party,1528
BRAHAM SINGH,Independent,856
CHARAN SINGH,Independent,583
IMAMULLA,Republican Party of India (A),578
AMOD KUMAR,Independent,494
SURENDRA,Inqalab Vikas Dal,324
PAWAN KUMAR,Lok Dal,261
UMESH,New All India Congress Party,128
KRISHNA PAL,Rashtriya Mahila Janshakti Party,125
None of the Above,None of the Above,1132
