Candidate,Party,Votes
ABRAR AHMAD,Samajwadi Party,51583
"OM PRAKASH PANDEY ""BAJRANGEE""",Bharatiya Janata Party,47342
"YASH BHADRA SINGH ""MONU""",Rashtriya Lok Dal,43026
DR. SHAILENDRA TRIPATHI,Bahujan Samaj Party,24961
SHIV KUMAR SINGH,Most Backward Classes Of India,11445
HAJI MOHD. DAUD KHAN,All India Majlis-E-Ittehadul Muslimeen,3865
SHAHABUDDIN,Independent,1809
HANSRAJ YADAV,Independent,1360
RAM SUMER YADAV,Independent,1233
MOHD. AKBAL,Independent,1178
RAM MURTI,Bahujan Mukti Party,904
RIZWAN,All India Pichhada Jan Samaj Party,547
None of the Above,None of the Above,2256
